Câu hỏi ,Câu trả lời 1,câu trả lời 2,Câu trả lời 3,Câu trả lời 4,Thứ tự của câu trả lời đúng 
Nhan vat chinh trong genshin impact la ai?,Aether,Lumnie,Venti,Paimon,a
Nguoi ban dong hanh dau tien cua nhan vat chinh la ai?,Venti va Razor,Kaeya va Lisa,Amber va Kaeya,Paimon va Amber,c
The gioi trong genshin impact duoc goi la gi?,Teyvat,Liyue,Mondstadt,Inazuma,a
Nhung nguoi ban dong hanh cua nhan vat chinh co may nhom? ,3,4,5,6,b
Vu khi nao duoc su dung pho bien trong genshin impact?,Kiem ,cung,gay,taichi,b
Trong so cac nhan vat duoi, nhan vat nao la 5 sao?,Qiqi,Diluc,Mona,All,d
Trong genshin impact nhan vat nao co kha nang tao ra bao lua?,Diluc,Klee,Bennett,Xiangling,a
Trong chien dau nhan vat nao co kha nang hoi sinh dong doi?,Barbara,Jean,Qiqi,Venti,c
Trong genshin impact nhan vat nao co kha nang thang cuoc trong mot tran dau doi khang?,Zhongli,Keqing,Ningguang,Tartaglia,b
Trong genshin impact nhan vat nao co kha nang giup do dong doi trong viec hoi mau va tang giap?,Diona,Xintan,Noelle,Bennett,d
Nhan vat nao trong genshin impact co ten la "Vo song chien si?",Razor,Chongyun,Xingqiu,Beidou,b
Trong genshin, impact nhan vat nao co kha nang dieu khien dat?,Ningguang,Zhongli,Xinyan,Albeido,b
Trong so cac nhan vat o duoi nhan vat nao la 4 sao va su dung vu khi cung?,Amber,Fischl,Childe,Xinyan,b
Trong genshin impact nhan vat nao co kha nang bien hinh thanh dong vat?,Klee,Sucrose,Xingqiu,Kirara,d
Trong genshin impact nhan vat nao co kha nang tao ra con bao da lanh?,Ganyu,Chongyun,Qiqi,Tartaglia,a
